"","Country","Year","Week_ahead","Accuracy_rolling","Accuracy_fix","Accuracy_hist","Accuracy_null","MZE_rolling","MZE_fix","MZE_hist","MZE_null","macroMAE_rolling","macroMAE_fix","macroMAE_hist","macroMAE_null","Country_fullName"
"50","IRL",2017,2,0.827,0.827,0.769,0.846,0.173,0.173,0.231,0.154,0.328888888888889,0.328888888888889,0.813333333333333,0.444444444444444,"Ireland"
"51","IRL",2017,3,0.827,0.808,0.769,0.808,0.173,0.192,0.231,0.192,0.333333333333333,0.373333333333333,0.813333333333333,0.566666666666667,"Ireland"
"52","IRL",2017,4,0.827,0.788,0.769,0.788,0.173,0.212,0.231,0.212,0.393333333333333,0.453333333333333,0.813333333333333,0.653333333333333,"Ireland"
"53","ISR",2017,1,0.885,0.885,0.731,0.865,0.115,0.115,0.269,0.135,0.492380952380952,0.464761904761905,0.866190476190476,0.292380952380952,"Israel"
"54","ISR",2017,2,0.827,0.808,0.731,0.788,0.173,0.192,0.269,0.212,0.729523809523809,0.82952380952381,0.865714285714286,0.504761904761905,"Israel"
"55","ISR",2017,3,0.769,0.769,0.731,0.769,0.231,0.231,0.269,0.231,1.06952380952381,1.06952380952381,0.95047619047619,0.567142857142857,"Israel"
"56","ISR",2017,4,0.788,0.788,0.731,0.731,0.212,0.212,0.269,0.269,0.90952380952381,0.934285714285714,0.985238095238095,0.711904761904762,"Israel"
"57","ITA",2017,1,0.522,0.478,0.13,0.609,0.478,0.522,0.87,0.391,0.793333333333333,0.733333333333333,2.06416666666667,0.749166666666667,"Italy"
"58","ITA",2017,2,0.522,0.478,0.13,0.391,0.478,0.522,0.87,0.609,0.806666666666667,0.843333333333333,2.235,1.27166666666667,"Italy"
"59","ITA",2017,3,0.391,0.435,0.087,0.217,0.609,0.565,0.913,0.783,1.02,1.21333333333333,2.3525,1.6475,"Italy"
"60","ITA",2017,4,0.478,0.391,0.043,0.174,0.522,0.609,0.957,0.826,0.936666666666667,1.18666666666667,2.47,1.97916666666667,"Italy"
"61","KGZ",2017,1,0.5,0.583,0.417,0.5,0.5,0.417,0.583,0.5,0.145714285714286,0.125714285714286,0.128571428571429,0.102857142857143,"Kyrgyzstan"
"62","KGZ",2017,2,0.333,0.25,0.667,0.417,0.667,0.75,0.333,0.583,0.18,0.2,0.08,0.122857142857143,"Kyrgyzstan"
"63","KGZ",2017,3,0.417,0.333,0.667,0.333,0.583,0.667,0.333,0.667,0.142857142857143,0.157142857142857,0.08,0.228571428571429,"Kyrgyzstan"
"64","KGZ",2017,4,0.417,0.417,0.75,0.417,0.583,0.583,0.25,0.583,0.157142857142857,0.165714285714286,0.06,0.322857142857143,"Kyrgyzstan"
"65","LTU",2017,1,0.886,0.886,0.886,0.914,0.114,0.114,0.114,0.086,0.6,0.6,0.8,0.45,"Lithuania"
"66","LTU",2017,2,0.886,0.886,0.886,0.886,0.114,0.114,0.114,0.114,0.9,0.9,0.9,0.7,"Lithuania"
"67","LTU",2017,3,0.886,0.886,0.886,0.886,0.114,0.114,0.114,0.114,0.9,0.9,0.9,0.8,"Lithuania"
